iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
WME,Australia/Perth,GMT +8:00,8,Mount Keith,WME,AU,-27.2852621,120.5497756,1781,YMNE
YOI,America/Montreal,GMT -5:00,-5,Opinaca,YOI,CA,52.2211,-76.6071602780502,692,
RPM,Australia/Darwin,GMT +9:00,9,Ngukurr,RPM,AU,-14.933333,134,249,YNGU
PXH,Australia/Adelaide,GMT +10:00,10,Prominent Hill,PXH,AU,-29.7101355,135.527729419537,692,YPMH
NAA,Australia/Sydney,GMT +11:00,11,Narrabri,NAA,AU,-30.3292011,149.8250651,725,YNBR
ABM,Australia/Brisbane,GMT +10:00,10,Northern Peninsula Airport,ABM,AU,-10.942619,142.45033,98,YNPE
MOO,Australia/Adelaide,GMT +10:00,10,Moomba,MOO,AU,-27.5,149.83333,1046,YOOM
KNX,Australia/Perth,GMT +8:00,8,Kununurra Airport,KNX,AU,-15.77628825,128.705227453402,145,YPKU
UTD,Australia/Darwin,GMT +9:00,9,Nutwood Downs,UTD,AU,-15.8083904,134.146201089955,500,YNUT
EDR,Australia/Brisbane,GMT +10:00,10,Edward River,EDR,AU,-14.9,141.61667,52,YPMP
GOV,Australia/Darwin,GMT +9:00,9,Nhulunbuy Airport,GOV,AU,-12.269595,136.82265,127,YPGV
NLS,Australia/Perth,GMT +8:00,8,Nicholson,NLS,AU,-18.050833,128.89583,1263,YNIC
NMP,Australia/Brisbane,GMT +10:00,10,New Moon,NMP,AU,-20.166668,143.96666,1443,YNMN
NPP,Australia/Darwin,GMT +9:00,9,Napperby,NPP,AU,-22.5,132.68333,2129,YNPB
NSM,Australia/Perth,GMT +8:00,8,Norseman,NSM,AU,-32.2099991,121.7549973,833,YNSM
LEA,Australia/Perth,GMT +8:00,8,Learmonth Airport,LEA,AU,-22.239883,114.09427,19,YPLM
NUR,Australia/Adelaide,GMT +10:00,10,Nullarbor,NUR,AU,-31.433332,130.91667,183,YNUB
NLL,Australia/Perth,GMT +8:00,8,Nullagine,NLL,AU,-21.75,120.2,1122,YNUL
NTN,Australia/Brisbane,GMT +10:00,10,Normanton Airport,NTN,AU,-17.68517,141.0746285,55,YNTN
NUB,Australia/Darwin,GMT +9:00,9,Numbulwar,NUB,AU,-14.26815415,135.71378042626,42,YNUM
ODD,Australia/Adelaide,GMT +10:00,10,Oodnadatta,ODD,AU,-27.550278,135.45,403,YOOD
OLP,Australia/Adelaide,GMT +10:00,10,Olympic Dam Airport,OLP,AU,-30.48471425,136.87764439594,285,YOLD
OSO,Australia/Brisbane,GMT +10:00,10,Osborne Mine,OSO,AU,-22.0792179,140.5568295,898,YOSB
KTR,Australia/Darwin,GMT +9:00,9,Tindal,KTR,AU,-14.4575,132.2714,443,YPTN
ODR,Australia/Perth,GMT +8:00,8,Ord River,ODR,AU,-17.5,128.8,633,YORV
PBO,Australia/Perth,GMT +8:00,8,Paraburdoo Airport,PBO,AU,-23.17202315,117.745849254397,1361,YPBO
PKT,Australia/Darwin,GMT +9:00,9,Port Keats,PKT,AU,-14.2510989,129.53016901829,104,YPKT
PQQ,Australia/Sydney,GMT +11:00,11,Port Macquarie Airport,PQQ,AU,-31.4357662,152.87350282041,26,YPMQ
PHE,Australia/Perth,GMT +8:00,8,Port Hedland International Airport,PHE,AU,-20.3737968,118.624072401796,52,YPPD
PDN,Australia/Adelaide,GMT +10:00,10,Parndana,PDN,AU,-35.916668,138.08333,0,YPDA
PDE,Australia/Adelaide,GMT +10:00,10,Pandie Pandie,PDE,AU,-26,138.66667,104,YPDI
